x_value,total_1,total_2
0,1000,1000
1,1005,1004
2,1000,1001
3,1004,1007
4,1004,1009
5,1011,1013
6,1010,1017
7,1016,1016
8,1013,1014
9,1007,1016
10,1005,1016
11,1008,1020
12,1010,1016
13,1005,1018
14,1006,1021
15,1002,1022
16,1009,1018
17,1007,1017
18,1009,1015
19,1008,1012
20,1005,1012
21,1013,1008
22,1013,1007
23,1012,1013
24,1006,1012
25,1000,1016
26,1004,1016
27,1001,1018
28,996,1018
29,993,1018
30,994,1020
31,997,1018
32,993,1021
33,1000,1026
34,997,1026
35,995,1029
36,1002,1030
37,1010,1032
38,1014,1032
39,1019,1031
40,1021,1027
41,1020,1026
42,1028,1030
43,1027,1025
44,1035,1031
45,1031,1032
46,1038,1029
47,1043,1034
48,1041,1039
49,1041,1034
50,1046,1039
51,1041,1035
52,1040,1037
53,1045,1037
54,1040,1039
55,1047,1036
56,1052,1034
57,1057,1039
58,1060,1040
59,1066,1039
60,1068,1037
61,1065,1042
62,1070,1047
63,1078,1048
64,1079,1044
65,1077,1046
66,1084,1050
67,1082,1053
68,1083,1048
69,1087,1043
70,1087,1042
71,1084,1038
72,1085,1035
73,1084,1040
74,1086,1037
75,1092,1033
76,1096,1033
77,1091,1034
78,1096,1035
79,1103,1030
80,1097,1026
81,1095,1025
82,1093,1028
83,1093,1027
84,1092,1024
85,1095,1028
86,1097,1030
87,1091,1030
88,1087,1034
89,1082,1034
90,1076,1039
91,1070,1035
92,1064,1036
93,1072,1037
94,1075,1035
95,1079,1031
96,1076,1029
97,1082,1027
98,1087,1029
99,1095,1026
100,1102,1026
101,1096,1024
102,1104,1025
103,1106,1023
104,1102,1026
105,1110,1026
106,1116,1024
107,1118,1026
108,1118,1026
109,1119,1025
110,1122,1029
111,1119,1033
112,1127,1031
113,1129,1029
114,1136,1026
115,1142,1024
116,1144,1027
117,1138,1027
118,1132,1023
119,1136,1024
120,1135,1029
121,1133,1034
122,1130,1033
123,1127,1032
124,1132,1032
125,1140,1028
126,1138,1026
127,1141,1026
128,1145,1021
129,1142,1025
130,1146,1030
